positionName,salary,company,rating,reviewsCount,jobTypeConsolidated
Lead Machine Learning Cloud Architect,,Zebra Technologies,3.7,579.0,
Technology Integrations Lead,,OpenMind,3.8,235.0,"Permanent, Full-time"
Social & Contextual Analytics Director.,,Ogilvy UK,,,"Permanent, Full-time"
Director of Data Science,"£100,000 - £130,000 a year",Harnham,4.6,9.0,Permanent
Senior Machine Learning Engineer - Retail & Consumer,,Faculty,,,Full-time
"Data Science Team Lead, Edinburgh",,Innovid,,,
Data Scientist (London),,The Voleon Group,,,Full-time
Data Science Manager,,InstaPro group,,,Full-time
Lead Data Scientist,,Mesh-AI,,,
Data Science Director,,Visa,3.9,1118.0,Permanent
Machine Learning Engineer,,Multiverse,3.8,4.0,Full-time
Lead Data Scientist,"£70,000 - £80,000 a year",Coburg Banks,4.5,8.0,Permanent
Python Data Scientist with Pyspark,"£34,985.30 - £96,735.78 a year",Nucleus Health,,,Temporary contract
Scientist - Data-driven extended-range prediction in Destination Earth,,ECMWF,,,
Data Scientist (Manager),"£60,000 - £75,000 a year",DAINTTA,,,Full-time
Software Engineer - Data / Machine Learning,,Parkopedia,4.7,3.0,Full-time
Internship Opportunity: Alexandria – Deep Learning for Enterprise Knowledge,,Microsoft,4.2,8318.0,Internship
Data Analyst - FP&A,"£50,000 - £60,000 a year",Kaplan,3.7,2141.0,Full-time
"AI Engineer, NLP, BioTech","£70,000 - £82,500 a year",Richard Wheeler Associates,,,"Permanent, Full-time"
Head of Customer Data & Digital Analytics,"£1,500 a month",Greene King,2.9,2080.0,Full-time
